version,code,name,introduced,cancelled,valid_or_future_export,focus_2025_2026,role_PLA88,offline_file,edison_url,sha256
9360-0106/04,9360-0106,Základní výpočty v chemii,2019/2020,2025/2026,1,1,,archive/versions/version_9360-0106_04.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0106%2F04&locale=cs,846e189c6818b206fe3e476c20b49f0cdca0d710f1b7da135d6ae56d709c24f1
9360-0120/01,9360-0120,Organická a makromolekulární chemie,2010/2011,2012/2013,1,0,,archive/versions/version_9360-0120_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0120%2F01&locale=cs,199590c4ba4ebb412be49558e3b478832f57850a9e848cc5757f9ca5a255d982
9360-0120/02,9360-0120,Organická a makromolekulární chemie,2012/2013,2025/2026,1,1,,archive/versions/version_9360-0120_02.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0120%2F02&locale=cs,7755bbcd61a9fd90bb4d1f3b4022c3c3f5edf84e61180ec6a400ac3fb6031d68
9360-0120/03,9360-0120,Organická a makromolekulární chemie,2019/2020,2025/2026,1,1,,archive/versions/version_9360-0120_03.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0120%2F03&locale=cs,827322a570481af92c3e07b0dc35e8715682ff7a57ecaaaa08b0ba974ef7d686
9360-0120/04,9360-0120,Organická a makromolekulární chemie,2012/2013,2025/2026,1,1,,archive/versions/version_9360-0120_04.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0120%2F04&locale=cs,d5ab91651612170c9bf5f8a20ae1abae0420af6a79315dd25bb170bb0b7bce23
9360-0120/05,9360-0120,Organická a makromolekulární chemie,2019/2020,2025/2026,1,1,,archive/versions/version_9360-0120_05.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0120%2F05&locale=cs,53afd9e5b726b59d1dd951602059f7b47036ca0dc2762a1b77a9f8d24d4714ea
9360-0125/01,9360-0125,Systém managementu kvality v laboratořích,2009/2010,2010/2011,1,0,,archive/versions/version_9360-0125_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0125%2F01&locale=cs,58821324aca89854db9bf487d171147194a5e4d96b4b664e0c8d3e23ced0e970
9360-0125/02,9360-0125,Systém managementu kvality v laboratořích,2010/2011,2023/2024,1,0,,archive/versions/version_9360-0125_02.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0125%2F02&locale=cs,2eaf5a5d9a8ec91e65ce657e871b364c3392cef058fd3ba61baee9e9721ebc20
9360-0125/03,9360-0125,Systém managementu kvality v laboratořích,2019/2020,2025/2026,1,1,,archive/versions/version_9360-0125_03.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0125%2F03&locale=cs,4bc25ea58a62b5a38a4869b35f1c3ee07371e7c378c7a3c2ff0e65af7793c03a
9360-0125/04,9360-0125,Systém managementu kvality v laboratořích,2010/2011,2025/2026,1,1,,archive/versions/version_9360-0125_04.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0125%2F04&locale=cs,8ceeba9e04bafedc55cf1992b2c64220ca7be08d1b7ddae8b46b771edf337a69
9360-0131/01,9360-0131,Experimentální metody a nástroje pro nanotechnologie I - chemické,2010/2011,2011/2012,0,0,,archive/versions/version_9360-0131_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0131%2F01&locale=cs,6a7c75b4551d6fc2aae2bf6a2ce31d56f597aac39b0012acbf519db887a67a0c
9360-0131/02,9360-0131,Experimentální metody a nástroje pro nanotechnologie I - chemické,2012/2013,2020/2021,0,0,,archive/versions/version_9360-0131_02.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0131%2F02&locale=cs,fb8b1bf5a8a1936abdc1a43451a12b1218218e2b18ccc1e809b34273a1dba19e
9360-0131/04,9360-0131,Experimentální metody a nástroje pro nanotechnologie I - chemické,2012/2013,2020/2021,0,0,,archive/versions/version_9360-0131_04.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0131%2F04&locale=cs,210703f6ba360e44072426a4f690e7133c0aad62326cf3bd5e2b2b62d8c6d028
9360-0132/02,9360-0132,Laboratorní cvičení z experimentálních metod studia nanomateriálů I,2012/2013,2020/2021,0,0,,archive/versions/version_9360-0132_02.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0132%2F02&locale=cs,5122bdaf8b010f97939e9563a7173bd39f7c40abca4f3b3f8e96d03312a2609a
9360-0132/04,9360-0132,Laboratorní cvičení z experimentálních metod studia nanomateriálů I,2019/2020,2020/2021,0,0,,archive/versions/version_9360-0132_04.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0132%2F04&locale=cs,101cb2947b059894135dbc8f9de0a48bb153690f5c2a8bb743cbdf0d95daf499
9360-0135/01,9360-0135,Laboratorní cvičení k bakalářské práci I,2010/2011,2021/2022,0,0,,archive/versions/version_9360-0135_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0135%2F01&locale=cs,a18b2eb927d53b6ad51596b262327f8e1a12daca40be4ca22b0ba796119d1281
9360-0135/02,9360-0135,Laboratorní cvičení k bakalářské práci I,2019/2020,2024/2025,0,0,,archive/versions/version_9360-0135_02.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0135%2F02&locale=cs,db88c85054fb7bc1f76cc9ca9eb5277721db313f7faeefddd919cc0345b64d85
9360-0135/03,9360-0135,Laboratorní cvičení k bakalářské práci I,2010/2011,2020/2021,0,0,,archive/versions/version_9360-0135_03.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0135%2F03&locale=cs,3a3b8f06d327e3ed0502f6f9f4a74a03442c3e27549c88516db6a9bb0d0ae832
