kind,code,version,url,file,size,sha256,pla88
version,730-0102,730-0102/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0102%2F01&locale=cs,archive/versions/version_730-0102_01.html,170785,42e077e99910d59a85d64f3241253839cc984280e9fe50ae7fb481e3ea969631,True
version,730-0106,730-0106/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0106%2F01&locale=cs,archive/versions/version_730-0106_01.html,167379,728921bd1f0cfe8dd1fdc913353289e8c35887f249eea61c69e67f25b04cd39b,True
version,730-0120,730-0120/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0120%2F01&locale=cs,archive/versions/version_730-0120_01.html,166884,6f4e61cee21345dcc55dc7e947ff6f27eb0d50097f6937b8c4ddea0d2434c2bb,True
version,730-0121,730-0121/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0121%2F01&locale=cs,archive/versions/version_730-0121_01.html,167118,1cdaea78817b3fdcab7c7d9b6af5ef1fa6d9f5de8c52ea990475e14880572f72,True
version,730-0125,730-0125/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0125%2F01&locale=cs,archive/versions/version_730-0125_01.html,170331,311b1cc50ece13a2c39bb27ac3e5900a7901416529b0d094304cfd792deb577e,True
version,730-0125,730-0125/02,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0125%2F02&locale=cs,archive/versions/version_730-0125_02.html,165695,9591560edcb2b0f6eb2ba00f794077c96b13399a9671298ef517d46c276ae1c1,True
version,730-0135,730-0135/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0135%2F01&locale=cs,archive/versions/version_730-0135_01.html,168559,f949ea07654b50924b588f8ecf6457c85fb682e213c21f720492ca04cdfbd05d,True
version,730-0136,730-0136/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0136%2F01&locale=cs,archive/versions/version_730-0136_01.html,170016,5f0c9dc1979365c40054d0e878a905a6af152afc0a547ccb5a547c68d75c1edc,True
version,730-0146,730-0146/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0146%2F01&locale=cs,archive/versions/version_730-0146_01.html,169015,0fd1bd4d74e46cfdad188e9f2c3940eb88b4811da66d3b405088aefd41b276cb,True
version,730-0153,730-0153/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0153%2F01&locale=cs,archive/versions/version_730-0153_01.html,170462,f64e8b6c96c62678f791ad876fa5f3201fdf0e171c746da5b9719d5362e17387,True
version,730-0154,730-0154/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0154%2F01&locale=cs,archive/versions/version_730-0154_01.html,168146,93943a6d6fd54b46a9fd42e76a473433ce6b777f29362078f2c7a057583eac3e,True
version,9350-3021,9350-3021/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9350-3021%2F01&locale=cs,archive/versions/version_9350-3021_01.html,179443,814c58a1be608b96c22e54c132d6ce8911b98436bf105922bc570a71c0634991,True
version,9350-3021,9350-3021/02,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9350-3021%2F02&locale=cs,archive/versions/version_9350-3021_02.html,177312,e732ea9de92f15dfd7d58b71be16a05f4620dd971f05c184386cbea1d72475ea,True
version,9360-0002,9360-0002/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0002%2F01&locale=cs,archive/versions/version_9360-0002_01.html,190473,9c2be06ee61df579dbfb3957118fe5ac8d943ddfe4ef8cf9153e10754c056e86,True
version,9360-0002,9360-0002/02,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0002%2F02&locale=cs,archive/versions/version_9360-0002_02.html,167599,b0304fbd3316ec0350c767c21e0d3840ec974022ddc1ea7a0c9eaf7ee3413b6e,True
version,9360-0003,9360-0003/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0003%2F01&locale=cs,archive/versions/version_9360-0003_01.html,170512,a73c0c179650566833215f668149440c56b3cadc05112fa55d501f92466fc12a,True
version,9360-0004,9360-0004/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0004%2F01&locale=cs,archive/versions/version_9360-0004_01.html,172396,f99ec1f060ef6d133d88ba48fb18187cdbb335158f6587a001b18bd8e9a6515d,True
version,9360-0005,9360-0005/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0005%2F01&locale=cs,archive/versions/version_9360-0005_01.html,183206,268463ff851ccfe243f76da1ca8c9203f205bd69e480933ed869ba9ef5e7691f,True
